Name,Price,Rating,Proccesor,Core,Thread,RAM(GB),Storage,Graphic_card,Display,Pixel,OS
HP 15S-EQ1550AU Laptop,66240,52.0,3rd Gen AMD Ryzen 3 3250U,Dual Core,4,8 ,512GB,AMD Radeon Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Pavilion 15-eg3017TU Laptop,66240,59.0,13th Gen Intel Core i5 1335U,10 Cores (2P + 8E),12,16,1TB,Intel Integrated Intel Iris Xe Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus  15-fa1060TX  Gaming Laptop,66240,66.0,13th Gen Intel Core i5 13500H,12 Cores (4P + 8E),16,16,512GB,6GB NVIDIA GeForce RTX 4050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Omen 16-u0023TX Gaming Laptop,66240,,13th Gen Intel Core i9 13900HX,24 Cores (8P + 16E),32,32,1TB,8GB NVIDIA GeForce RTX 4070,16.1 inches, 2560 x 1600 pixels,Windows 11 OS
HP Victus 15-fb0153AX Gaming Laptop,66240,64.0,5th Gen AMD Ryzen 5  5600H ,Hexa Core,12,8 ,512GB,4GB AMD Radeon RX 6500M,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Dragonfly G4 Laptop,66240,69.0,13th Gen Intel Core i7 1365U,10 Cores (2P + 8E),12,16,512GB,Intel Iris Xe Graphics,13.5 inches, 1920 x 1280 pixels,Windows 11 OS
HP Omen 16-u0005TX Gaming Laptop,66240,77.0,13th Gen Intel Core i7 13700HX,16 Cores (8P + 8E),24,16,1TB,8GB NVIDIA GeForce RTX 4070,16.1 inches, 2560 x 1600 pixels,Windows 11 OS
HP ProBook 440 G9 7X8W8PA Laptop,66240,56.0,12th Gen Intel Core i5 1235U,10 Cores (2P + 8E),12,8 ,512GB,Intel Iris Xe Graphics,14 inches, 1920 x 1080 pixels,DOS OS
HP 15s-fy5005TU Laptop,66240,51.0,12th Gen Intel Core i3 1215U,Hexa Core (2P + 4E),8,8 ,1TB,Intel Integrated UHD,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP ZBook Studio G9 Workstation Laptop,66240,,12th Gen Intel Core i7 12700H ,14 Cores (6P + 8E),20,16,1TB,8GB NVIDIA GeForce RTX 3070 Ti ,16 inches, 3840 x 2400 pixels,Windows 11 OS
HP ZBook Firefly 14 G9 WUXGA Laptop,66240,62.0,12th Gen Intel Core i5 1235U,10 Cores (2P + 8E),12,16,1TB,Intel Iris Xᵉ Graphics,14 inches, 1920 x 1200 pixels,Windows 11 OS
HP ZBook Studio G9 16 WUXGA Workstation Laptop,66240,78.0,12th Gen Intel Core i7 12700H ,14 Cores (6P + 8E),20,16,1TB,6GB NVIDIA GeForce RTX 3060,16 inches, 1920 x 1200 pixels,Windows 11 OS
HP ZBook Studio G9 Workstation WQUXGA Laptop,66240,,12th Gen Intel Core i7 12700H ,14 Cores (6P + 8E),20,16,1TB,6GB NVIDIA GeForce RTX 3060,16 inches, 3840 x 2400 pixels,Windows 11 OS
HP ZBook Firefly 14 G9 Laptop,66240,60.0,12th Gen Intel Core i5 1235U,10 Cores (2P + 8E),12,16,512GB,Intel Iris Xᵉ Graphics,14 inches, 1920 x 1200 pixels,Windows 11 OS
HP Envy x360 15-fh0019AU Laptop,66240,66.0,7th Gen AMD Ryzen 7 7730U,Octa Core,16,16,512GB,AMD Radeon AMD,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Envy x360 15-fe0027TU Laptop,66240,62.0,13th Gen Intel Core i5 1335U,10 Cores (2P + 8E),12,16,512GB,Intel Integrated Iris Xe,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 14-hr0000AU Laptop,66240,56.0,7th Gen AMD Ryzen 5 7520U,Quad Core,8,16,512GB,AMD Radeon AMD,14 inches, 1920 x 1080 pixels,Windows 11 OS
‎HP Zbook Power G4-A 2023 ZHAN 99 Laptop,66240,68.0,6th Gen AMD Ryzen 5 6600H,Hexa Core,12,16,1TB,512GB SSD,4 GB ‎NVIDIA Quadro T600,,"15.6 inches, 1920 x 1080 pixels"
HP 14-hr0001AU Laptop,66240,54.0,7th Gen AMD Ryzen 5 7520U,Quad Core,8,8 ,512GB,AMD Radeon AMD,14 inches, 1920 x 1080 pixels,Windows 11 OS
HP Envy 15-fe0030TU Laptop,66240,64.0,13th Gen Intel Core i7 1355U,10 Cores (2P + 8E),12,16,512GB,Intel Iris X Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 14-gr0000TU Laptop,66240,52.0,13th Gen Intel Core i3 1315U,Hexa Core (2P + 4E),8,8 ,512GB,Intel UHD Graphics,14 inches, 1920 x 1080 pixels,Windows 11 OS
HP 14-em0026AU Laptop,66240,54.0,7th Gen AMD Ryzen 5 7520U,Quad Core,8,8 ,512GB,AMD Radeon AMD,14 inches, 1920 x 1080 pixels,Windows 11 OS
HP 240 G9 7K5J8PA Notebook Laptop,66240,60.0,12th Gen Intel Core i5 1235U,10 Cores (2P + 8E),12,16,512GB,Intel Iris Xe Graphics,14 inches, 1366 x 768 pixels,Windows 11 OS
HP Omen 17-cm2003TX Gaming Laptop,66240,79.0,13th Gen Intel Core i7 13700HX ,16 Cores (8P + 8E),24,16,1TB,8GB NVIDIA GeForce RTX 4060,17.3 inches, 2560 x 1440 pixels,Windows 11 OS
HP 15s-ey1509AU Laptop,66240,,3rd Gen AMD Athlon 3050U,Dual Core,2,8 ,512GB,AMD Radeon AMD,15.6 inches, 1366 x 768 pixels,Windows 11 OS
HP 15s-fq3071TU Laptop,66240,,Intel Celeron  N4500,Dual Core,2,8 ,512GB,Intel Integrated UHD Graphics,15 inches, 1366 x 768 pixels,Windows 11  OS
HP Victus 15-fb0133AX Gaming Laptop,66240,63.0,5th Gen AMD Ryzen 5 5600H,Hexa Core,12,16,512GB,4GB AMD Radeon RX 5600M ,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15s-fr5009TU Laptop,66240,55.0,12th Gen Intel Core i3 1215U,Hexa Core (2P + 4E),8,8 ,512GB,Intel UHD Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15s-eq1580AU Laptop,66240,54.0,3rd Gen AMD Ryzen 3  3250U,Dual Core,4,8 ,512GB,AMD Radeon Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15-hr0000TU Laptop,66240,52.0,13th Gen Intel Core i5 1335U,10 Cores (2P + 8E),12,8 ,512GB,Intel Integrated Integrated,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Pavilion 15-eh2050AU Laptop,66240,59.0,5th Gen AMD Ryzen 5 5625U,Hexa Core,12,8 ,512GB,AMD Radeon Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15-fc0030AU Laptop,66240,51.0,7th Gen AMD Ryzen 5 7520U,Quad Core,8,16,512GB,AMD Radeon AMD,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fa1066TX Gaming Laptop,66240,66.0,13th Gen Intel Core i7 13700H,14 Cores (6P + 8E),20,16,512GB,6GB NVIDIA GeForce RTX 4050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15-fd0018TU Laptop,66240,,13th Gen Intel Core i3 1315U,Hexa Core (2P + 4E),8,8 ,512GB,Intel Integrated Integrated,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP ProBook 440 G8 5D6U3PA Notebook PC,66240,63.0,11th Gen Intel Core i5 1135G7,Quad Core,8,8 ,512GB,Intel Iris Xe Graphics,14 inches, 1366 x 768 pixels,Windows 11 OS
HP Pavilion 15-eg2017TU Laptop,66240,56.0,12th Gen Intel Core i3 1215U,Hexa Core (2P + 4E),8,8 ,512GB,Intel UHD Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15-eg3036TU Laptop,66240,65.0,13th Gen Intel Core i7 1360P,12 Cores (4P + 8E),16,16,1TB,Intel Integrated Integrated,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15s-fq2738TU Laptop,66240,52.0,11th Gen Intel Core i3 1115G4 ,Dual Core,4,8 ,512GB,Intel Integrated UHD Graphics,15.6 inches, 1366 x 768 pixels,Windows 11 OS
HP Omen 16-n0123AX Gaming Laptop,66240,73.0,6th Gen AMD Ryzen 7  6800H,Octa Core,16,16,1TB,8GB NVIDIA GeForce RTX 3070 Ti ,16.1 inches, 2560 x 1440 pixels,Windows 11 OS
HP Victus 15-fb0121AX Gaming Laptop,66240,63.0,5th Gen AMD Ryzen 5  5600H ,Hexa Core,12,8 ,512GB,4GB NVIDIA GeForce GTX 1650,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Spectre x360 2023 13.5-ef2033TU Laptop,66240,68.0,13th Gen Intel Core i7 1355U,10 Cores (2P + 8E),12,16,1TB,Intel Iris Xe Graphics,13.5 inches, 3000 x 2000 pixels,Windows 11 OS
HP 15-fc0028AU Laptop,66240,,7th Gen AMD Ryzen 5 7520U,Quad Core,8,8 ,512GB,AMD Radeon AMD,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15-fc0025AU Laptop,66240,51.0,7th Gen AMD Ryzen 3 7320U,Quad Core,8,8 ,512GB,AMD Radeon AMD,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fb0108AX Gaming Laptop,66240,63.0,5th Gen AMD Ryzen 5  5600H ,Hexa Core,12,8 ,512GB,4GB AMD Radeon RX 6500M Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 247 G8 Laptop,66240,,3rd Gen AMD Ryzen 5 3500U,Quad Core,8,8 ,512GB,AMD Radeon Graphics,14 inches, 1366 x 768 pixels,Windows 11 OS
HP 247 G8 ‎6B5R3PA Laptop,66240,51.0,5th Gen AMD Ryzen 3  5300U,Quad Core,8,8 ,512GB,AMD Radeon Graphics,14 inches, 1366 x 768 pixels,DOS OS
HP 250 G8 6X4B3PA Laptop,66240,,11th Gen Intel Core i3 1115G4,Dual Core,4,8 ,512GB,Intel UHD,15.6 inches, 1366 x 768 pixels,Windows 11 OS
HP Omen 17-ck1022TX Gaming Laptop,66240,73.0,12th Gen Intel Core i7 12800HX,16 Cores,24,32,1TB,8GB NVIDIA GeForce RTX 3070Ti,16.1 inches, 2560 x 1440 pixels,Windows 11 OS
HP Envy x360 13-bf0063TU Laptop,66240,66.0,12th Gen Intel Core i7 1250U,10 Cores,12,16,1TB,Intel Iris X Graphics,13.3 inches, 2880 x 1800 pixels,Windows 11 OS
HP 250 G8 6G9R1PA Notebook,66240,,11th Gen Intel Core i3,8 GB DDR4 RAM</li,,51,Intel,"15.6inches, 1366x768pixels",DOS OS,,
HP Victus 15-fb0053AX Gaming Laptop,66240,62.0,5th Gen AMD Ryzen 7 5800H ,Octa Core,16,16,512GB,4GB NVIDIA GeForce RTX 3050,16.1 inches, 1920 x 1080 pixels,Windows 11 OS
HP Spectre x360 13-ef0054TU Laptop,66240,72.0,12th Gen Intel Core i7 12700H,14 Cores (6P + 8E),20,16,1TB,Intel Iris Xe Graphics,13.5 inches, 3000 x 2000 pixels,Windows 11 OS
HP 15s-eq1561AU Laptop,66240,,3rd Gen AMD Ryzen 3  3250U,Dual Core,4,8 ,256GB,AMD Radeon Radeon,15.6 inches, 1366 x 768 pixels,Windows 11 OS
HP Pavilion x360 14-ek0088TU Laptop,66240,62.0,12th Gen Intel Core i7 1255U,10 Cores (2P + 8E),12,16,512GB,Intel Iris Xe Graphics,14 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15s-ey1508AU Laptop,66240,,3rd Gen AMD Ryzen 3  3250U,Dual Core,4,8 ,256GB,AMD Radeon Radeon,15.6 inches, 1366 x 768 pixels,Windows 11 OS
HP 14s-dq3037tu Laptop,66240,,Intel Celeron  N4500,Dual Core</li,,8 ,256GB,Intel Integrated UHD Graphics,14 inches, 1366 x 768 pixels,Windows 11  OS
HP Victus 15-fa0351TX Laptop,66240,62.0,12th Gen Intel Core i7 12650H,10 Cores (6P + 4E),16,8 ,512GB,4GB NVIDIA GeForce RTX 3050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Spectre X360 16-f1003TU Laptop,66240,71.0,12th Gen Intel Core i7 12700H,14 Cores (6P + 8E),20,16,512GB,Intel Iris X Graphics,16 inches, 3072 x 1920 pixels,Windows 11 OS
HP Victus 15-fa0073TX Laptop,66240,62.0,12th Gen Intel Core i7 12650H,10 Cores (6P + 4E),16,8 ,512GB,4GB NVIDIA GeForce RTX 3050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Pavilion 15s-fq5112TU Laptop,66240,53.0,12th Gen Intel Core i5 1235U,10 Cores (2P + 8E),12,16,512GB,Intel Iris Xe Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Pavilion 15s-eq2182AU Laptop,66240,55.0,5th Gen AMD Ryzen 5  5500U ,Hexa Core,12,16,512GB,AMD Radeon Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15s-fq2672TU Laptop,66240,52.0,11th Gen Intel Core i3 1115G4,Dual Core,4,8 ,512GB,Intel Integrated UHD,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15s-fq2674TU Laptop,66240,50.0,11th Gen Intel Core i3 1115G4,Dual Core,4,8 ,512GB,Intel Integrated UHD,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 16-E0301Ax Gaming Laptop,66240,66.0,5th Gen AMD Ryzen 5 5600H,Hexa Core,12,8 ,512GB,4GB NVIDIA GeForce GTX 1650,16.1 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fa0354TX Laptop,66240,64.0,12th Gen Intel Core i7 12650H,10 Cores (6P + 4E),16,16,512GB,4GB NVIDIA GeForce RTX 3050 Ti,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 14s-fq0568AU Laptop,66240,,3rd Gen AMD Athlon  3050U,Dual Core,2,8 ,256GB,AMD Radeon AMD,14 inches, 1366 x 768 pixels,Windows 11 OS
HP Pavilion x360 14-ek0078TU Laptop,66240,59.0,12th Gen Intel Core i5 1235U,10 Cores (2P + 8E),12,16,512GB,Intel Iris Xe Graphics,14 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15s-FR2511TU Laptop,66240,52.0,11th Gen Intel Core i3 1115G4,Dual Core,4,8 ,512GB,Intel UHD Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Spectre x360 13-ef0053TU Laptop,66240,72.0,12th Gen Intel Core i7 1255U,10 Cores (2P + 8E),12,16,512GB,Intel Iris X Graphics,13.5 inches, 3000 x 2000 pixels,Windows 11 OS
HP 15s- fr2512TU Laptop,66240,,11th Gen Intel Core i3 1125G4,Quad Core,8,8 ,512GB,Intel UHD Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 16-e1060AX Gaming Laptop,66240,71.0,6th Gen AMD Ryzen 7 6800H ,Octa Core,16,16,512GB,4GB NVIDIA GeForce RTX 3050 Ti,16.1 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 16-e1062AX Gaming Laptop,66240,60.0,6th Gen AMD Ryzen 5  6600H ,Hexa Core,12,8 ,512GB,4GB NVIDIA GeForce RTX 3050 ,16.1 inches, 1920 x 1080 pixels,Windows 11 OS
HP 255 G8 62Y23PA Laptop,66240,50.0,3rd Gen AMD Ryzen 3  3250U,Dual Core,4,8 ,512GB,AMD Radeon Vega 8 Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Pavilion 15-eg2036TU Laptop,66240,61.0,12th Gen Intel Core i5 1240P,12 Cores (4P + 8E),16,16,512GB,Intel Integrated Iris Xe,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Pavilion 14-dv2041TU Laptop,66240,60.0,12th Gen Intel Core i5 1235U,10 Cores (2P + 8E),12,16,512GB,Intel Iris Xe Graphics,14 inches, 1920 x 1080 pixels,Windows 11 OS
HP Pavilion 14-dv2019TU Laptop,66240,53.0,12th Gen Intel Core i5 1235U,10 Cores (2P + 8E),12,8 ,512GB,Intel Integrated Intel Iris Xe Graphics,14 inches, 1920 x 1080 pixels,Windows 11 OS
HP Pavilion 15-EG2019TX Laptop,66240,61.0,12th Gen Intel Core i5 1235U,10 Cores (2P + 8E),12,16,512GB,2GB NVIDIA GeForce MX550,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Pavilion 14-EC1008AU Laptop,66240,55.0,5th Gen AMD Ryzen 7  5825U,Octa Core,16,16,512GB,AMD Radeon AMD,14 inches, 1920 x 1080 pixels,Windows 11  OS
HP 14-eg0008qu Laptop,66240,,Qualcomm Snapdragon 7c Gen 2 7c Gen 2,Octa Core</li,,8 ,Qualcomm,"14inches, 1920x1080pixels",Windows 11  OS,,
HP Omen 16-B1371TX Laptop,66240,74.0,12th Gen Intel Core i7 12700H,14 Cores (6P + 8E),20,16,1TB,8GB NVIDIA GeForce RTX 3070,16.1 inches, 2560 x 1440 pixels,Windows 11 OS
HP ProBook 635 Aero G8 Notebook,66240,54.0,5th Gen AMD Ryzen 5 5600U ,Hexa Core,12,8 ,512GB,AMD Radeon Graphics,13.3 inches, 1920 x 1080 pixels,Windows 10 OS
HP Pavilion 15-eg2009TU Laptop,66240,59.0,12th Gen Intel Core i5 1240P,12 Cores (4P + 8E),16,8 ,512GB,Intel Iris Xe,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15s-fq2627TU Laptop,66240,52.0,11th Gen Intel Core i3 1125G4,Quad Core,8,8 ,512GB,Intel UHD Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Omen 16-c0138AX Laptop,66240,66.0,5th Gen AMD Ryzen 7 5800H,Octa Core,16,16,512GB,4GB NVIDIA GeForce RTX 3050 Ti,16.1 inches, 1920 x 1080 pixels,Windows 10 OS
HP 15s-fr2508TU Laptop,66240,,11th Gen Intel Core i3 1125G4,Quad Core,8,8 ,512GB,Intel Integrated,15.6 inches, 1920 x 1080 pixels,Windows 11  OS
HP 14s-dq3033TU Laptop,66240,,Intel Pentium Silver N6000 ,Quad Core,4,8 ,256GB,Intel UHD Graphics,14 inches, 1366 x 768 pixels,Windows 11 OS
HP 14s- dq3032tu Laptop,66240,,Intel Celeron  N4500,Dual Core</li,,8 ,256GB,Intel Integrated UHD Graphics,14 inches, 1366 x 768 pixels,Windows 11  OS
HP 245 G8 62G69PA Laptop,66240,,3rd Gen AMD Ryzen 3  3250U ,Dual Core,4,8 ,512GB,AMD Radeon,14 inches, 1366 x 768 pixels,Windows 11  OS
HP Omen 16-B0352TX  Gaming Laptop,66240,69.0,11th Gen Intel Core i7 11800H,Octa Core,16,16,1TB,4GB NVIDIA GeForce RTX 3050 Ti Graphics,16.1 inches, 1920 x 1080 pixels,Windows 10  OS
HP 14s-fq1092au Laptop,66240,59.0,5th Gen AMD Ryzen 5 5500U,Hexa Core,12,8 ,512GB,AMD Radeon,14 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15s-eq2143au Laptop,66240,50.0,5th Gen AMD Ryzen 3  5300U,Quad Core,8,8 ,512GB,AMD Radeon AMD,15.6 inches, 1920 x 1080 pixels,Windows OS
HP Pavilion 15-DK2096TX Laptop,66240,62.0,11th Gen Intel Core i7 11370H,Quad Core,8,16,512GB,4GB NVIDIA GeForce RTX RTX 3050,15.6 inches, 1920 x 1080 pixels,Windows 11  OS
HP Omen 16-b0370TX Laptop,66240,73.0,11th Gen Intel Core i7 11800H,Octa Core,16,16,1TB,8GB NVIDIA GeForce RTX 3070,16.1 inches, 2560 x 1440 pixels,Windows 10 OS
HP Pavilion 15-eg1000TU Laptop,66240,52.0,11th Gen Intel Core i5 1135G7,Quad Core,8,8 ,512GB,Intel Iris X,15.6 inches, 1920 x 1080 pixels,Windows 11  OS
HP Pavilion Aero 13-be0208AU Laptop,66240,61.0,5th Gen AMD Ryzen 7  5800U,Octa Core,16,16,1TB,AMD Radeon,13.3 inches, 1920 x 1200 pixels,Windows 11  OS
HP 15s-du3564TU Laptop,66240,51.0,11th Gen Intel Core i3 1125G4,Quad Core,8,8 ,512GB,Intel Integrated UHD,15.6 inches, 1366 x 768 pixels,Windows 11 OS
HP 15s-gy0501AU Laptop,66240,,3rd Gen AMD Ryzen 3  3250U ,Dual Core,4,8 ,256GB,AMD Radeon Graphics,15.6 inches, 1920 x 1080 pixels,Windows 10  OS
HP 240 G8 4J0K2PA Laptop,66240,,11th Gen Intel Core i3 1115G4 ,Dual Core,4,8 ,1TB,Intel UHD Graphics,14 inches, 1366 x 768 pixels,Windows 10 OS
HP 15s-ey1004AU Laptop,66240,51.0,AMD Ryzen 5  4500U,Hexa Core,6,8 ,256GB,AMD Radeon Vega 8,15.6 inches, 1366 x 768 pixels,Windows 10 OS
HP Pavilion 15-eh1103AU Laptop,66240,56.0,5th Gen AMD Ryzen 5  5500U,Hexa Core,12,16,512GB,AMD Radeon AMD,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP 15s-du1516TU Laptop,66240,56.0,10th Gen Intel Core i3 10110U,Dual Core,4,8 ,512GB,Intel UHD,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP 15s-gr0500AU Laptop,66240,53.0,3rd Gen AMD Ryzen 5  3500U,Quad Core,8,8 ,512GB,AMD Radeon,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP 14s-DQ2100TU Laptop,66240,,11th Gen Intel Core i3 1115G4,Dual Core,4,8 ,256GB,Intel Integrated UHD,14 inches, 1366 x 768 pixels,Windows 10 OS
HP 15s-FQ2071TU Laptop,66240,51.0,11th Gen Intel Core i5,Quad Core</li,,8 ,512GB,Intel Integrated Iris Xe,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP 250 G8 42V68PA Laptop,66240,,11th Gen Intel Core i3 1115G4 ,Dual Core,4,8 ,512GB,Intel UHD Graphics,15.6 inches, 1366 x 768 pixels,Windows 10 OS
HP 14s- DQ3018TU Laptop,66240,,Intel Pentium  N6000,Quad Core,4,8 ,256GB,Intel Integrated UHD,14 inches, 1366 x 768 pixels,Windows 10 OS
HP 250 G8 3D4T7PA Laptop,66240,,10th Gen Intel Core i3 1005G1 ,Dual Core,4,4 ,512GB,Intel HD Integrated Graphics,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP 15s-EQ2040AU Laptop,66240,51.0,5th Gen AMD Ryzen 5  5500U,Hexa Core,12,8 ,512GB,AMD Radeon,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP 14s-dr2015TU Laptop,66240,50.0,11th Gen Intel Core i3 1115G4,Dual Core,4,8 ,512GB,Intel UHD,14 inches, 1920 x 1080 pixels,Windows 10 OS
HP 14s-dq2535TU Laptop,66240,54.0,11th Gen Intel Core i5 1135G7,Quad Core,8,8 ,512GB,Intel Integrated Iris Xe,14 inches, 1366 x 768 pixels,Windows 10 OS
HP 14s-dq3017TU Laptop,66240,,Intel Celeron  N4500,Dual Core</li,,8 ,256GB,Intel Integrated UHD,14 inches, 1366 x 768 pixels,Windows 10 OS
HP 14s-fq1030AU Laptop,66240,52.0,5th Gen AMD Ryzen 5 5500U ,Hexa Core,12,8 ,512GB,AMD Integrated SoC,14 inches, 1920 x 1080 pixels,Windows 10  OS
15s-eq0500AU Laptop,66240,51.0,3rd Gen AMD Ryzen 5 3500U,Quad Core,8,8 ,512GB,AMD Radeon Vega 8 ,15.6 inches, 1920 x 1080 pixels,Windows 10  OS
HP 250 G8 3Y667PA Laptop,66240,53.0,11th Gen Intel Core i5 1135G7,Quad Core,8,8 ,1TB,Intel Iris,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP 15s-fq2075TU Laptop,66240,50.0,11th Gen Intel Core i3 1115G4,Dual Core,4,8 ,256GB,Intel UHD,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP 15s-FR2006TU Laptop,66240,,11th Gen Intel Core i3 1115G4,Dual Core,4,8 ,512GB,Intel Integrated UHD,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP 15s-du1052TU Laptop,66240,,Intel Pentium Gold 6405U,Dual Core</li,,4 ,1TB,Intel Integrated UHD,15.6 inches, 1366 x 768 pixels,Windows 10 OS
HP 15s-GR0012AU Laptop,66240,56.0,3rd Gen AMD Ryzen 3  3250U,Dual Core,4,8 ,1TB,256GB SSD,AMD Radeon Vega 6,,"15.6 inches, 1920 x 1080 pixels"
HP 15s-du3040TU Laptop,66240,54.0,11th Gen Intel Core i3 1115G4,Dual Core,4,8 ,1TB,Intel Integrated UHD,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP 15s-fr2005tu Laptop,66240,,11th Gen Intel Core i5 1135G7 ,Quad Core,8,8 ,1TB,Intel Iris Xe Graphics,15.6 inches, 1920 x 1080 pixels,Windows 10  OS
HP 14s-fr0012AU Laptop,66240,50.0,3rd Gen AMD Ryzen 5  3450U,Quad Core</li,,8 ,512GB,AMD Radeon Vega 8,14 inches, 1920 x 1080 pixels,Windows 10 OS
HP 15s-du0051TU Laptop,66240,56.0,8th Gen Intel Core i5 8265U,Quad Core,8,8 ,1TB,Intel Integrated UHD Graphics,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP 14-ck2018TU Laptop,66240,53.0,10th Gen Intel Core i5 10210U,Quad Core,8,8 ,512GB,Intel Integrated UHD,14 inches, 1366 x 768 pixels,Windows 10 OS
HP 15s-du2002TU Laptop,66240,53.0,10th Gen Intel Core i3 1005G1,Dual Core,4,8 ,1TB,Intel Integrated UHD,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP 15s-du2067TU Laptop,66240,57.0,10th Gen Intel Core i3 1005G1,Dual Core,4,4 ,1TB,256GB SSD,Intel Integrated UHD,,"15.6 inches, 1920 x 1080 pixels"
HP 15s-GR0008AU Laptop,66240,54.0,3rd Gen AMD Ryzen 3  3250U,Dual Core,4,4 ,1TB,256GB SSD,AMD Radeon,,"15.6 inches, 1920 x 1080 pixels"
HP 15s-eq0132AU Laptop,66240,50.0,AMD Ryzen 7  3700U,Quad Core,8,8 ,512GB,AMD Radeon RX Vega 10,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP 15s-fr1004tu Laptop,66240,52.0,10th Gen Intel Core i3 1005G1,Dual Core,4,4 ,512GB,Intel Integrated UHD,15.6 inches, 1920 x 1080 pixels,Windows 10 OS
HP Spectre x360 13-aw0211TU,66240,55.0,10th Gen Intel Core i5 1035G4,Quad Core,8,8 ,512GB,Intel Iris Plus,13.3 inches, 1920 x 1080 pixels,Windows 10 OS
HP 14q-cs0005tu,66240,,7th Gen Intel Core i3 7020U,Dual Core,4,4 ,1TB,Intel HD 620,14 inches, 1366 x 768 pixels,"14 inches, 1366 x 768 pixels"
HP Elitebook 840 G8 4S1H5PA Laptop,66240,64.0,11th Gen Intel Core i5 1135G7 ,Quad Core,8,8 ,512GB,Intel Iris Xe,14 inches, 1920 x 1080 pixels,Windows 10 OS
HP Victus 15-fa2104TX  Gaming Laptop,66240,65.0,13th Gen Intel Core i7 13620H,10 Cores (6P + 4E),16,16,512GB,6GB NVIDIA GeForce RTX 4050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fa2190TX Gaming Laptop,66240,61.0,13th Gen Intel Core i5 13420H,Octa Core (4P + 4E),12,16,512GB,4GB NVIDIA GeForce RTX 3050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Elitebook 830 G5,66240,60.0,8th Gen Intel Core i5 8250U,Quad Core,8,8 ,256GB,Intel UHD 620,13.3 inches, 1920 x 1080 pixels,Windows 10 OS
